,Longitude,Latitude,MRT_Station
98,103.762496770529,1.42512495935501,Kranji MRT Station
99,103.774410520697,1.43275137172006,Marsiling MRT Station
100,103.773997133375,1.43275136098458,Marsiling MRT Station
101,103.8215802917,1.26497195959122,Harbourfront MRT Station
102,103.821398857154,1.26597925499591,Harbourfront MRT Station
103,103.820468350461,1.26601318319783,Harbourfront MRT Station
104,103.8437978881,1.28371277043019,Chinatown MRT Station
105,103.845903432736,1.28780575265584,Clarke Quay MRT Station
106,103.846593909165,1.28919925781809,Clarke Quay MRT Station
107,103.84936002946,1.30560525103922,Little India MRT Station
108,103.904792279936,1.40982767244172,Sam Kee Lrt Station
109,103.908613856028,1.40504602830874,Damai Lrt Station
110,103.912754573795,1.4021037193748,Oasis Lrt Station
111,103.916517130328,1.39941146718039,Kadaloor Lrt Station
